sequence_no,time,latitude,longitude,ax,ay,az,baro_alt
214,109219,29.864144,77.893437,0.621,0.038,0.763,-1.56
215,109719,29.864144,77.893437,0.542,0.009,0.612,-1.47
216,110219,29.864138,77.893391,0.868,0.01,1.043,-1.38
217,110719,29.864138,77.893391,0.623,0.2,1.039,-1.21
218,111219,29.864131,77.893352,0.607,0.033,0.746,-1.21
219,111719,29.864131,77.893352,0.624,0.008,0.785,-1.12
220,112219,29.864139,77.893311,0.42,-0.006,0.61,-1.12
221,112719,29.864139,77.893311,0.631,0.081,0.856,-0.69
222,113219,29.864152,77.89327,0.594,0.039,0.874,-0.52
223,113719,29.864152,77.89327,0.681,0.092,0.91,-0.69
224,114219,29.864165,77.893229,0.591,0.036,0.702,-0.69
225,114719,29.864165,77.893229,0.757,0.006,1.207,-0.95
226,115219,29.864168,77.893187,0.699,0.01,0.93,-0.78
227,115719,29.864168,77.893187,0.562,0.043,0.833,-0.43
228,116219,29.864174,77.893143,0.77,0.036,0.961,-0.61
229,116719,29.864174,77.893143,0.544,-0.006,0.858,-0.26
230,117219,29.864181,77.893097,0.613,0.118,0.71,0.09
231,117719,29.864181,77.893097,0.555,-0.056,0.687,0
232,118219,29.864181,77.893052,0.524,0.049,0.727,-0.17
233,118719,29.864181,77.893052,0.656,-0.038,0.76,0.43
234,119219,29.864193,77.893005,0.603,0.01,0.917,-0.78
235,119719,29.864193,77.893005,1.03,0.11,1.577,-1.9
236,120219,29.864201,77.892962,0.117,0.008,0.264,-0.78
237,120719,29.864201,77.892962,0.42,-0.024,0.497,-1.04
238,121219,29.864212,77.89292,0.653,0.078,0.679,-0.87
239,121719,29.864212,77.89292,0.679,-0.007,0.744,-0.95
240,122219,29.864213,77.892875,0.625,-0.049,0.771,-1.38
241,122719,29.864213,77.892875,0.692,0.006,0.855,-1.47
242,123219,29.864213,77.892831,0.578,0.003,0.789,-1.21
243,123719,29.864213,77.892831,0.643,-0.01,0.839,-1.64
244,124219,29.864222,77.892784,0.548,0.007,0.671,-1.04
245,124719,29.864222,77.892784,0.557,-0.002,0.681,-1.82
246,125219,29.864234,77.892739,0.773,0.043,0.888,-1.3
247,125719,29.864234,77.892739,0.488,-0.019,0.595,-1.38
248,126219,29.864247,77.892688,0.746,0.076,1.082,-1.21
249,126719,29.864247,77.892688,0.616,-0.004,0.778,-1.56
250,127219,29.864248,77.892626,0.702,0.095,0.948,-1.04
251,127719,29.864248,77.892626,0.685,0.097,0.995,-1.38
252,128219,29.864254,77.892576,0.605,0.077,0.786,-1.04
253,128719,29.864254,77.892576,0.561,-0.064,0.767,-0.87
254,129219,29.864261,77.892522,0.653,-0.004,0.757,-1.3
255,129719,29.864261,77.892522,0.513,-0.132,0.636,-1.04
256,130219,29.864262,77.892469,0.702,0.049,0.87,-1.47
257,130719,29.864262,77.892469,0.685,-0.039,0.731,-1.56
258,131219,29.864262,77.892417,0.427,0.068,0.713,-1.21
259,131719,29.864262,77.892417,0.632,0.022,0.809,-1.04
260,132219,29.864257,77.892373,0.686,0.057,0.901,-1.12
261,132719,29.864257,77.892373,0.55,0.141,0.839,-1.21
262,133219,29.864241,77.892331,0.628,0.013,0.801,-1.3
263,133719,29.864241,77.892331,0.583,0.191,0.799,-1.38
264,134219,29.864223,77.892298,0.793,0.135,1.174,-1.82
265,134719,29.864223,77.892298,0.516,0.039,0.714,-1.56
266,135219,29.864201,77.892285,0.699,0.113,0.918,-1.21
267,135719,29.864201,77.892285,0.684,0.017,0.954,-1.38
268,136219,29.864183,77.892278,0.768,0.167,1.029,-0.69
269,136719,29.864183,77.892278,0.713,0.063,0.781,-0.61
270,137219,29.864157,77.892281,0.661,0.055,0.74,-0.78
271,137719,29.864157,77.892281,0.625,0.002,0.783,-0.87
272,138219,29.864133,77.892276,0.56,0.131,0.709,-0.61
273,138719,29.864133,77.892276,0.628,0.076,0.728,-0.61
274,139219,29.864111,77.892283,0.539,-0.002,0.819,-0.35
275,139719,29.864111,77.892283,0.635,0.145,0.817,-0.26
276,140219,29.864088,77.892289,0.536,0.026,0.704,-0.69
277,140720,29.864088,77.892289,0.575,-0.069,0.792,-0.43
278,141220,29.864072,77.892286,0.561,0.055,0.811,-0.35
279,141719,29.864072,77.892286,0.54,0.079,0.641,-0.35
280,142219,29.864047,77.892284,0.558,0.059,0.585,10.73
281,142719,29.864047,77.892284,0.455,-0.074,0.632,-1.12
282,143219,29.864013,77.892293,0.396,0.013,0.494,-1.04
283,143719,29.864013,77.892293,0.506,-0.001,0.727,-1.47
284,144219,29.863977,77.892284,0.6,0.105,0.815,-1.12
285,144719,29.863977,77.892284,0.654,0.086,0.781,-0.95
286,145219,29.863937,77.892288,0.651,0.131,0.979,-1.04
287,145719,29.863937,77.892288,0.587,0.004,0.768,-1.04
288,146219,29.863895,77.892296,0.572,-0.079,0.772,-0.95
289,146719,29.863895,77.892296,0.639,0.061,0.786,-1.21
