sequence_no,time,latitude,longitude,ax,ay,az,baro_alt
209,204862,29.861608,77.894782,0.159,-1.008,-0.121,-1.64
210,205363,29.861608,77.894782,0.173,-0.953,-0.111,-1.38
211,207182,29.86161,77.894784,0.201,-1.078,-0.226,-1.47
212,207703,29.861597,77.89479,0.11,-0.966,-0.114,-1.38
213,208210,29.861597,77.89479,0.098,-1.003,-0.032,-1.47
214,213233,29.861588,77.894777,0.084,-0.937,-0.075,-1.3
215,213734,29.861587,77.894772,0.055,-0.969,-0.124,-0.87
216,214240,29.861587,77.894772,0.045,-1.073,-0.145,-1.04
217,214741,29.861595,77.894767,-0.011,-1.03,-0.067,-1.21
218,215246,29.861595,77.894767,0.058,-0.994,-0.137,-1.12
219,215748,29.861595,77.894767,-0.087,-1.147,-0.168,-0.87
220,216253,29.861595,77.894767,0.01,-1.087,-0.189,-1.04
221,216754,29.861602,77.894764,0.036,-1.029,-0.137,-0.87
222,217259,29.861602,77.894764,-0.018,-0.992,-0.147,-1.12
223,217761,29.861603,77.894764,0.005,-1.114,-0.052,-0.52
224,218264,29.861603,77.894764,0.054,-1.02,-0.142,-1.04
225,218766,29.861612,77.894764,-0.025,-1.116,-0.093,-1.04
226,219272,29.861612,77.894764,0.009,-1.065,-0.075,-1.12
227,219774,29.861617,77.894756,0.045,-0.995,-0.098,0.43
228,220277,29.861617,77.894756,0.734,-0.838,-0.48,0.43
229,220779,29.861623,77.894757,0.191,-1.036,-0.169,0
230,221281,29.861623,77.894757,0.093,-0.99,-0.2,0.52
231,221781,29.861612,77.894752,0.022,-0.915,-0.11,
232,222281,29.861612,77.894752,0.053,-1.073,-0.145,-1.99
233,222785,29.861603,77.894749,0.071,-0.999,-0.093,-1.99
234,223287,29.861603,77.894749,0.121,-0.977,-0.188,-1.73
235,223790,29.861592,77.894745,0.087,-1.038,-0.117,-1.9
236,224294,29.861592,77.894745,0.072,-1.006,-0.054,-1.82
237,224796,29.861583,77.894749,0.12,-1.086,-0.139,-1.82
238,225300,29.861583,77.894749,-0.021,-1.016,-0.101,-1.38
239,225805,29.861587,77.894754,0.054,-0.963,-0.078,-1.64
240,226308,29.861587,77.894754,-0.065,-1.017,-0.098,-1.9
241,226813,29.861581,77.894763,0.028,-1.051,-0.099,-1.64
242,227316,29.861581,77.894763,0.124,-0.975,-0.135,-1.56
243,227820,29.861567,77.894766,-0.001,-1.02,-0.144,-1.47
244,228323,29.861567,77.894766,0.107,-1.02,-0.112,-1.47
245,228828,29.861573,77.894766,0.056,-1.002,-0.113,-1.56
246,229330,29.861573,77.894766,-0.031,-1.023,-0.102,-1.73
247,229835,29.861574,77.894766,-0.003,-1.037,-0.139,-1.73
248,230337,29.861574,77.894766,0.049,-1.019,-0.121,-1.12
249,230843,29.861569,77.894767,-0.066,-1.066,-0.1,-1.04
250,231346,29.861569,77.894767,0.115,-1.103,-0.055,-0.95
251,231850,29.861564,77.894767,0.119,-0.958,-0.129,-1.21
252,232350,29.861564,77.894767,-0.054,-0.986,-0.152,-1.3
253,232856,29.861569,77.89476,0.164,-1.014,-0.208,-1.04
254,233358,29.861569,77.89476,0.136,-1.068,-0.172,-0.95
255,233863,29.861571,77.894756,0.078,-0.964,-0.12,-1.04
256,234364,29.861571,77.894756,0.131,-1.012,-0.108,-1.12
257,234870,29.861566,77.894753,0.303,-0.918,-0.071,-1.21
258,235370,29.861566,77.894753,0.11,-1.046,-0.122,-1.04
259,235876,29.861562,77.894749,0.015,-1,-0.013,-1.12
260,236376,29.861562,77.894749,0.146,-1.006,-0.132,-1.3
261,236882,29.861563,77.894745,0.063,-1.053,-0.068,-1.04
262,237382,29.861563,77.894745,0.069,-0.987,-0.181,-1.12
263,237890,29.861569,77.894738,0.122,-1.055,-0.147,-1.21
264,238390,29.861569,77.894738,0.141,-0.931,-0.125,-0.69
265,238896,29.861563,77.894737,0.24,-0.987,-0.207,-1.04
266,239396,29.861563,77.894737,0.184,-1.014,-0.107,-0.43
267,241195,29.861565,77.894734,-0.047,-1.045,0.031,-0.52
268,241715,29.861561,77.894727,0.122,-0.991,-0.046,-0.26
269,242221,29.861561,77.894727,0.119,-1.014,-0.104,-0.35
270,242721,29.861562,77.894727,0.077,-1.034,-0.065,-0.17
271,243227,29.861562,77.894727,0.005,-1.054,-0.158,-0.43
272,243727,29.861561,77.894729,0.035,-1.068,-0.067,-0.26
273,244232,29.861561,77.894729,0.057,-1.027,-0.036,-0.17
274,244732,29.861563,77.89473,0.073,-1.03,-0.073,-0.61
275,245237,29.861563,77.89473,0.014,-1.015,-0.068,-0.43
276,245738,29.861559,77.894733,0.064,-0.995,-0.041,-0.35
277,246242,29.861559,77.894733,0.048,-0.989,-0.1,-0.69
278,246742,29.861563,77.894726,-0.013,-1.049,-0.091,-0.61
279,247248,29.861563,77.894726,0.016,-1.008,-0.071,-0.87
280,247748,29.861567,77.894725,0.029,-1.032,-0.031,-0.52
281,248254,29.861567,77.894725,0.055,-1.024,-0.088,-0.69
282,248755,29.861579,77.894726,0.047,-1.006,-0.113,-0.52
283,249260,29.861579,77.894726,0.043,-1.002,-0.101,-0.87
284,249761,29.861584,77.894722,0.067,-0.999,-0.072,-0.78
285,250265,29.861584,77.894722,0.05,-1.062,-0.074,-0.61
286,250767,29.861585,77.894724,0.087,-1.042,-0.043,-0.43
287,251271,29.861585,77.894724,0.085,-1.017,-0.089,-1.04
288,251774,29.861583,77.89474,0.04,-1.021,-0.033,-0.69
